global_rank,step,eval/aime24_mean_fitness,eval/aime25_mean_fitness,eval/amc_mean_fitness,eval/math_mean_fitness,eval/minerva_mean_fitness,eval/olympiad_bench_mean_fitness,training_time_s,run,composite_score
1,10,0.5390625,0.390625,0.78125,0.921875,0.3984375,0.515625,81108.32035851479,rebuttal-deepscaler-grpo-vllm-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774607523,0.5911458333333334
2,10,0.4921875,0.3359375,0.75,0.9296875,0.453125,0.53125,68019.3393497467,rebuttal-orz-grpo-vllm-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774607028,0.58203125
3,10,0.4765625,0.4140625,0.765625,0.90625,0.4140625,0.484375,67471.24727749825,rebuttal-orz-grpo-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774570410,0.5768229166666666
4,10,0.515625,0.3203125,0.75,0.8984375,0.4140625,0.5390625,80794.38209104538,rebuttal-deepscaler-grpo-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569886,0.5729166666666666
5,20,0.1796875,0.140625,0.46875,0.7890625,0.3125,0.296875,81981.64885807037,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P4096-B16-S1-no_std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774570378,0.3645833333333333
6,20,0.171875,0.109375,0.4453125,0.796875,0.28125,0.2578125,84510.92285299301,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-no_std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569205,0.34375
7,10,0.2109375,0.140625,0.40625,0.734375,0.28125,0.2578125,44607.4324195385,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P4096-B16-S1-no_std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774570378,0.3385416666666667
8,10,0.1484375,0.109375,0.3359375,0.7421875,0.25,0.234375,46114.46511340141,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-no_std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569205,0.3033854166666667
9,0,0.1953125,0.0703125,0.3671875,0.6015625,0.2578125,0.21875,12859.650287389755,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-no_std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569205,0.28515625
10,0,0.1953125,0.0703125,0.3671875,0.6015625,0.2578125,0.21875,12920.861362218857,rebuttal-deepscaler-grpo-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569886,0.28515625
